x,y,yaw_deg
4.280240745706649,-402.1311923855007,176.52188321837343
4.180429277785231,-402.125125917731,176.52188321837343
4.0806178098638135,-402.1190594499613,176.1746319100802
3.980844948700866,-402.1123881725416,176.17331511012236
3.8810722339382013,-402.10571460162964,175.87725511902624
3.7813353460034476,-402.0985255751814,175.87476708331056
3.681598759152346,-402.09133221691684,175.62953285957533
3.5818938869956174,-402.08371203979107,175.626147667585
3.482189452627117,-402.0760859708767,175.43125549778114
3.382511546656926,-402.06812080201723,175.42737043654287
3.282834169515835,-402.06014887338597,175.28223659262576
3.1831773140800914,-402.05192448218605,175.27835960623898
3.083521006844925,-402.0436933469011,175.1823231810777
2.9838786409912013,-402.03529518455764,175.17905448080376
2.884236749647209,-402.02689133727074,175.13140357962297
2.784601883388132,-402.0184046243371,175.12941276571206
2.6849673106311354,-402.0099144493472,176.88546993368288
2.585121691426244,-402.00448160868723,176.97291062731935
2.485265561783289,-401.9992010279845,176.55877154829045
2.3854503469776107,-401.9931988306756,176.5368277983163
2.2856373001217842,-401.9871583971493,176.1953231412988
2.185862130616518,-401.9805231574228,176.17580390751039
2.08608912606335,-401.97385392041525,175.9064603746332
1.9863486440706966,-401.9667157376804,175.88968929185057
1.8866101871519332,-401.9595483552228,175.69184113812437
1.7868971150747146,-401.9520366122011,175.67834437229166
1.6871857746989707,-401.9445013776127,175.5511748235404
1.5874914229568182,-401.93674485115133,175.54165417462562
1.4877983430832031,-401.9289717574852,177.18938666659122
1.3879263624930662,-401.9240686582691,177.32452671818564
1.2880397072135559,-401.9194009760925,176.88775957915766
1.188191781359189,-401.9139720118351,176.85076986630003
1.0883471355228513,-401.9084785741459,176.50739430192982
0.9885373632613809,-401.90238687598327,176.477052329411
0.8887306725800981,-401.89624231293294,176.22647801956884
0.7889518972891306,-401.88966132662193,176.20318163064553
0.6891757173553856,-401.88303976504943,176.04458878375948
0.589418285476804,-401.8761420545864,176.02898990709494
0.48966269762192655,-401.869217182634,177.63378498559925
0.38975639057142164,-401.8650888804386,177.80114619606036
0.2898343632523907,-401.8612522652267,177.38381714593677
0.1899432127029496,-401.8566879624173,177.33949376741177
0.09005534151953887,-401.8520463732201,174.91487215935229
-0.009537026187129385,-401.8431840475067,174.65075759899491
-0.1090971951403529,-401.8338618204212,173.98775767200547
-0.20854203005028182,-401.8233882636149,173.9082420448228
-0.3079730322882355,-401.81277662124506,173.34246020086636
-0.407293749898229,-401.8011837313227,173.26637667382414
-0.5065996367435677,-401.7894588860064,174.3834853960416
-0.6061123471830762,-401.779672619893,174.55412324278876
-0.7056566517870434,-401.770182489191,173.75800891790917
-0.8050579040841941,-401.759310342503,173.62661017266845
-0.9044355448453958,-401.74821008680476,172.94898566925852
-1.0036736930942447,-401.73593547394523,172.8254520424489
-1.102886410733292,-401.7234467663058,172.26464856849105
-1.2019711675555598,-401.7099877236085,172.14973213649108
-1.301029703025567,-401.69632984271993,173.17925659813963
-1.400313910000478,-401.6844544602121,173.41928888749138
-1.4996507346707681,-401.67299468603227,172.69263903098206
-1.598832212219663,-401.66027629425815,172.5082164761654
-1.697974261932292,-401.64723845936857,171.9148792496758
-1.7969744874088935,-401.6331748701259,171.74778868699036
-1.8959347728980613,-401.6188224119486,171.2837814406283
-1.9947745540572812,-401.6036691654058,171.13665287185248
-2.0935761250289393,-401.588262000405,172.12849875605522
-2.1926242411389207,-401.5745681499218,172.48610076386325
-2.2917612509661827,-401.56149204796674,171.91413806579817
-2.390760848036738,-401.5474272414782,171.68903527706956
-2.4897063639075583,-401.532973312985,171.25515783618258
-2.5885383540418694,-401.5177707224093,171.0658898241686
-2.687320821074233,-401.50224154449063,170.7631481255143
-2.7860191822009917,-401.48619074463886,170.6151252960653
-2.884676420356391,-401.4698849015335,170.11448450948214
-2.9831853411927165,-401.45271800332955,169.83821385693193
-3.0816124147519948,-401.4350759413643,169.16567088881183
-3.1798213466349248,-401.4162805949622,168.74007473955004
-3.2778922330098927,-401.39675542132767,168.21126371787742
-3.375775631868542,-401.3763265957088,167.8173477059602
-3.4735193687337746,-401.3552246274724,167.4220267110216
-3.5711130983524075,-401.3334492343474,167.06711015683774
-3.6685721522576675,-401.3110692439158,167.62890642348515
-3.766240763909796,-401.28964705820283,168.25038065922905
-3.864141193182281,-401.2692844181949,167.86871859616687
-3.9619009575261783,-401.24827070787495,167.36667910508046
-4.0594756917751535,-401.2264005822221,167.10358416403648
-4.156947311614119,-401.20408301829104,166.6782719650865
-4.2542522404188805,-401.1810421417858,166.51616038402236
-4.351490786577841,-401.1577262374364,166.18219221089987
-4.448592577578195,-401.1338437471066,166.56918817621914
-4.545847375029752,-401.11061911027844,167.63116862669764
-4.643522026449508,-401.089199641801,167.50320200913293
-4.741147729289042,-401.06756226849296,167.0481139893318
-4.838599357849085,-401.04514996716483,166.98668065665035
-4.936026620623172,-401.0226332542252,166.68063918514193
-5.033332501296761,-400.999596397969,166.6634468929653
-5.130631430304232,-400.9765303531924,166.52686651454948
-5.227875133382908,-400.9532324268603,166.62739258707703
-5.325156995633876,-400.9301057618333,168.3510602489547
-5.4230930547776515,-400.90991518286154,168.31946697797179
-5.521016832070973,-400.8896708387579,165.91376895140567
-5.618005671532788,-400.8653337029429,165.91376895140567
-5.714994510994602,-400.8409965671279,165.47857279219267
-5.811795554888636,-400.8159234888064,165.45608866729177
-5.908586896354451,-400.79081238813205,166.78248405715746
-6.005930168330561,-400.76794933154827,166.95554921623182
-6.103345461311415,-400.745379620578,166.54210225439587
-6.200594843134509,-400.72210767628997,166.45832385069858
-6.297810605439481,-400.69869343448516,166.2573117022039
-6.394943450572673,-400.6749383157311,166.19869464380804
-6.492052116222901,-400.65108379382303,167.43921896130522
-6.589645328653414,-400.6293392558577,167.93444035371067
-6.687431986459146,-400.6084370857547,166.2690762385179
-6.784549619829416,-400.5847068200338,165.44671996829737
-6.881336853968611,-400.55957989289345,165.1507985618287
-6.977992173483654,-400.53395364113095,164.9559897813062
-7.0745606517251645,-400.5079986768669,165.7438519105074
-7.171468828546124,-400.48337606558965,166.4370600083875
-7.268675894567897,-400.45992574628974,166.20773813456822
-7.365787462694551,-400.43608676365983,165.95375726873124
-7.462793264096858,-400.411817324974,165.86159522708084
-7.559759723400735,-400.3873919258635,165.73047312331659
-7.656670209373921,-400.3627446365953,164.97528266530222
-7.75323177238332,-400.33682639124766,163.5664820722042
-7.849142469674092,-400.3085373597155,163.9642879399671
-7.9452407976728106,-400.28091677362835,165.07496248774743
-8.041862962274571,-400.2551623862837,164.9914457539979
-8.13844705673387,-400.2292673002632,164.64402902288683
-8.234872786186607,-400.20278693283115,164.83062463153735
-8.331380477472027,-400.17662175658813,166.20341005367627
-8.428491106006897,-400.1527752267485,166.18075118279026
-8.525592177697234,-400.12889032342736,165.8267839966322
-8.622543957397381,-400.1044059697948,165.82678399663268
-8.719495737097532,-400.07992161616227,163.5405189686843
-8.815393397555363,-400.05158918787197,163.53428956429255
-8.911288185083842,-400.02324627191933,164.8134073283059
-9.007789444481016,-399.9970517068902,164.9373394112846
-9.104349468996773,-399.9710653099613,164.50738862067433
-9.200711258067393,-399.94435520237295,164.42574512216675
-9.29703540380292,-399.9175076678837,165.56993352310684
-9.3938704875772,-399.89259047190586,165.92317670877998
-9.49086332180023,-399.86826926163144,164.09434680859277
-9.587009786535488,-399.84087096417187,163.31841741873095
-9.682797106655315,-399.81216694939883,162.95329225318906
-9.778398343043193,-399.78285347784305,162.72387082655266
-9.873882655772658,-399.7531570608469,163.44080420648902
-9.969724131512026,-399.7246597813904,164.10381279511745
-10.065895907170951,-399.69727144945074,163.8856430061214
-10.161961810448943,-399.66951737203595,163.60788812108865
-10.257892926380725,-399.64129765984904,163.3717743387559
-10.353705458121292,-399.61268330110283,162.94295653127506
-10.449302624703707,-399.5833522100689,162.72463013878655
-10.544785388186837,-399.5536576626766,162.1127578891344
-10.639947535734322,-399.5229445248691,162.29872511324191
-10.735206259654358,-399.4925412526441,163.26567152715688
-10.830967114574884,-399.4637490692479,163.21580224854213
-10.926702410935029,-399.4348736875031,162.58037806474795
-11.02211205196292,-399.40493823095477,162.58037806474823
-11.117521692990811,-399.3750027744064,160.15720825991394
-11.211578338600784,-399.34106092503146,160.09903229403085
-11.305602491534843,-399.307022860679,161.055677572017
-11.400179496074614,-399.2745601544385,161.22523852484673
-11.494854495415595,-399.2423766857067,160.73178742284614
-11.589247562294789,-399.2093794835401,160.55565003148132
-11.68353999228447,-399.1760918160569,161.35731244303085
-11.778283142859202,-399.1441286216748,161.8572858914067
-11.873307400312216,-399.1129914789778,160.53821768492264
-11.967565804520754,-399.07968356761955,159.2767462121483
-12.061091790719432,-399.0442996579233,159.65497853452743
-12.154845882414929,-399.0095351920423,160.29155819102678
-12.248983879391497,-398.97581326023123,160.10821839566012
-12.343012029984946,-398.9417907986828,159.55279598634405
-12.43670740890052,-398.9068579040175,159.69250241534527
-12.530485511837643,-398.872154378977,160.78270102108507
-12.624909113061031,-398.83924063273264,160.78270102108507
-12.71933271428442,-398.8063268864883,158.2158380318526
-12.812187102155708,-398.7692175512735,158.20419401282413
-12.905034369248217,-398.7320891773085,159.0367674306659
-12.99840947472951,-398.69631456492505,159.1936895755859
-13.091884069747536,-398.66079511608297,158.6902128032134
-13.185041410517597,-398.6244562534659,158.4762724668947
-13.278063940309227,-398.5877691970155,159.16362330945014
-13.371514420571703,-398.5522027808914,159.72198352730763
-13.465312543482852,-398.5175467092996,158.6775637707489
-13.558441974633098,-398.48119504325444,157.23242882675353
-13.65064620221413,-398.44249734854253,157.49576952466512
-13.743024395568238,-398.40422505666646,158.28398359267678
-13.83592327724912,-398.3672260169185,158.2242508474264
-13.928783068907249,-398.3301303336243,157.6716874051322
-14.021281260131284,-398.29214065370843,157.6716874051322
-14.113779451355319,-398.25415097379255,157.0345828515474
-14.205849110489956,-398.21513529006216,156.99054965094274
-14.297889151210535,-398.1760486930757,156.42053724636534
-14.389534373394092,-398.1360489934905,156.24288218779424
-14.481056541141585,-398.09576470411326,156.9208406092447
-14.573044240255362,-398.0565681660241,157.41759974775167
-14.66537305093629,-398.01816866240654,156.42352966798404
-14.757002003388719,-397.9781817610265,154.99857333377486
-14.847627792520996,-397.9359195142336,155.20812655998645
-14.938405176732843,-397.89399009737747,156.02545066048083
-15.0297738111413,-397.8533587817925,156.01695705809115
-15.121136355996079,-397.812713951101,155.4643853007678
-15.212102736412769,-397.7711898762321,155.46438530079743
-15.303069116829459,-397.72966580136324,154.96848351606536
-15.393671936205637,-397.6873563228748,154.8570539322383
-15.484193062115615,-397.6448703613837,154.46120692606843
-15.574417107961061,-397.60176068930673,154.20502054479837
-15.664448887053547,-397.5582473590128,154.67953112068184
-15.754833004038042,-397.51548347139806,155.43542825010604
-15.845778386741891,-397.47391342780077,155.37579290091395
-15.936680237983666,-397.43224884618377,155.11572715859614
-16.02739225206821,-397.3901719919696,155.11572715862656
-16.11810426615276,-397.34809513775554,154.77334321682673
-16.208563192294758,-397.3054769819339,154.76698057464682
-16.299017415185784,-397.26284876685276,154.47623066520967
-16.389253809958024,-397.21976225379666,154.38972287528847
-16.479425393350304,-397.1765393812827,154.1657781604635
-16.56942679228784,-397.1329646670139,153.9845389984711
-16.659290460289945,-397.08910520585624,153.84307472155317
-16.74904500194294,-397.04502428004474,153.55206472057935
-16.838575057560544,-397.00048777478287,153.68746966995727
-16.928207679368835,-396.95616418087025,155.00473376815725
-17.018838012008235,-396.9139116783941,155.00473376815725
-17.109468344647635,-396.8716591759179,153.2571931438035
-17.198762689422537,-396.8266651785094,153.03337973365078
-17.287885903637985,-396.7813200150657,153.932091981317
-17.377703234544896,-396.7373813229128,154.4324278474307
-17.467907008725696,-396.6942256711003,154.21283262390344
-17.55794382578407,-396.65072504870074,153.9159336749845
-17.64775491255149,-396.6067580172626,153.81244415993842
-17.737485846275668,-396.5626291289908,153.39396472440959
-17.826892668708872,-396.51784574745005,153.39396472440959
-17.916299491142077,-396.4730623659093,153.27881524310519
-18.005616122970977,-396.42809939433477,153.27417995172573
-18.094929124214588,-396.3831291934381,153.1806949468722
-18.184168586536117,-396.3380133506096,153.14469710885166
-18.27337973155465,-396.29284142609544,153.79324842762998
-18.3630902439386,-396.24868524990256,154.49552421978902
-18.453341488119484,-396.2056289601921,153.9612519854331
-18.54317643616911,-396.1617382977352,152.47222680986712
-18.631851274095517,-396.11552245328164,152.48377006521886
-18.720535214880243,-396.0693245823833,153.8071374209065
-18.810262652861752,-396.02518709227445,153.80713742093576
-18.89999009084326,-395.9810496021657,152.2483295744148
-18.988474398529142,-395.9344924619906,151.80788376158006
-19.076607416161476,-395.88725156484793,152.48102651274584
-19.165283479707895,-395.84105239885395,153.12679201099607
-19.254480504012676,-395.7958525978035,153.0921613274643
-19.343650147933868,-395.75059891515644,152.99764578567655
-19.432745064171066,-395.7051981766105,152.99486784357464
-19.521837774704274,-395.65979312065076,152.87869659582822
-19.610838244579003,-395.61420751412953,152.87869659585627
-19.69983871445373,-395.56862190760836,153.945934983027
-19.78966831715406,-395.52470410626546,154.25367758861253
-19.879737016412214,-395.4812672489462,153.16129906033365
-19.968948278961612,-395.4361277374806,152.28774122521412
-20.057473847957784,-395.38962661067995,152.70293282062983
-20.146328520134023,-395.3437710543011,153.68849935713047
-20.235964373645277,-395.29944786708336,153.56419963226463
-20.325500836328732,-395.2549318279963,151.78070313029315
-20.4136114333644,-395.2076491266157,151.78070313029315
-20.50172203040007,-395.1603664252351,152.91615313852068
-20.590747782594033,-395.1148413126783,153.20840557907755
-20.680009100135408,-395.06976861195375,152.180576045244
-20.76843611509657,-395.0231080179285,151.35539641482154
-20.856193308265766,-394.97517258002614,151.75674709826586
-20.944278448906914,-394.92785609342087,152.81140409235502
-21.033225318221316,-394.88216598947054,152.7625423493651
-21.122132031061575,-394.836400645365,151.00996263505337
-21.209598630388587,-394.78793699752464,151.00996263505337
-21.2970652297156,-394.73947334968426,152.1103179938093
-21.385440668046375,-394.6927013383212,152.49582289408644
-21.47413453149411,-394.6465220166876,151.6446060759684
-21.56212228009147,-394.59903570814953,150.7428767779746
-21.649362015289217,-394.5501648603724,151.03581686188647
-21.736845694611336,-394.5017433316526,152.2603178467993
-21.82534899671569,-394.4551998393422,152.26031784677048
-21.913852298820043,-394.4086563470317,151.99600447002285
-22.002139881197486,-394.3617051091375,151.97710191681978
-22.090412036175607,-394.3147247109342,151.80844359188367
-22.178545325216156,-394.26748477686476,151.72444439670434
-22.26660945289351,-394.2201155824843,151.07670356681263
-22.354123931303405,-394.17175855759854,150.09062517575262
-22.440801683001894,-394.1218977661856,150.23267914973434
-22.527600059618674,-394.0722535895608,151.68567985719625
-22.615632118621782,-394.024824824581,151.68567985722396
-22.703664177624887,-393.9773960596013,151.53552860746592
-22.79157157352342,-393.9297367945862,151.5019340199367
-22.879451077478745,-393.8820259578256,151.41844077593046
-22.967260883394463,-393.83418715398,151.3476952174357
-23.055011632708798,-393.7862399209566,151.31493121002055
-23.142734909169814,-393.7382425384927,151.2227093009552
-23.230380856933117,-393.6901039988337,151.22270930098568
-23.318026804696427,-393.64196545917474,151.12866598084858
-23.405593619112157,-393.5936831266949,151.12676959387608
-23.493158837800333,-393.54539789462626,151.0800861360349
-23.580684672907076,-393.49704133920363,151.05971701707173
-23.66819332400548,-393.4486536636781,151.0439954399095
-23.75568868983092,-393.4002419808029,151.0214401702139
-23.843164995678595,-393.35179585531205,151.02025031100166
-23.930640295295824,-393.3033479132882,151.01187538066188
-24.01810851247042,-393.25488718543426,151.01187538068936
-24.105576729645012,-393.2064264575804,151.02790467834927
-24.193058500301994,-393.15799020244964,151.0310067286324
-24.280542893880195,-393.1095586833728,151.0574123008768
-24.368049590968774,-393.06116749203625,151.0788660531207
-24.45557440900499,-393.0128090658051,151.48347773373774
-24.54343251447113,-392.9650731971668,152.59621917315516
-24.632207159230585,-392.91904935978164,152.5726937629752
-24.720962363404546,-392.87298935388606,150.88769410684685
-24.808325342791,-392.8243391638294,150.8876941068174
-24.895688322177453,-392.7756889737727,152.03993524607176
-24.984005152899503,-392.7288090127032,152.478124881779
-25.072684747850868,-392.682602296751,151.71406042809258
-25.160731430305884,-392.6352219100891,150.8495446422194
-25.248061997389982,-392.58651356159936,151.1481012857748
-25.335639733213643,-392.53826393881104,152.51746153111623
-25.424351030670543,-392.4921181170788,152.5174615311451
-25.513062328127443,-392.4459722953466,151.08133354904973
-25.600586983714386,-392.3976188787415,150.96407796824155
-25.68801474344191,-392.34908519982827,150.90935254587427
-25.775396084173682,-392.30046805006276,150.87815408638753
-25.862750961860566,-392.25180331432796,150.858282105071
-25.95008894596208,-392.20310828959924,150.82095112459226
-26.037395194220927,-392.1543563647675,150.92310396356356
-26.12478590832384,-392.10576146341106,152.6257822727676
-26.213584288342112,-392.0597834375078,152.62578227279556
-26.30238266836038,-392.0138054116046,152.64164134814297
-26.39119377054863,-391.96785196666787,152.64549978638786
-26.48000796798089,-391.9219045021644,151.66917198275104
-26.568016005170414,-391.87445595741974,150.8781540863581
-26.655370882857294,-391.8257912216849,151.28070557449212
-26.743059444329916,-391.7777447492138,152.4093534222414
-26.831683514029436,-391.7314316254828,152.398938232624
-26.92029892827409,-391.68510251546735,150.72575443602486
-27.00752405495165,-391.63620559904194,150.72575443605328
-27.094749181629208,-391.5873086826166,151.8706482997203
-27.182926819409282,-391.5401681422968,152.3308629788798
-27.27148736084937,-391.49373365447076,151.6006592518604
-27.359440385054146,-391.44617893953864,150.72575443602585
-27.44666551173171,-391.39728202311323,150.9984928702888
-27.5341172818313,-391.3488037081669,152.40935342223952
-27.622741351530813,-391.3024905844359,152.40935342224046
-27.71136542123033,-391.25617746070486,151.02316558294172
-27.79884050763611,-391.2077354527082,150.8781540863915
-27.88619538532301,-391.1590707169734,150.83706300849923
-27.973515325423495,-391.1103433528785,150.81142349147171
-28.060813465587515,-391.0615769106899,151.26354441862625
-28.148488024167914,-391.0135039611534,152.2035561741656
-28.236945173231913,-390.9668728134161,152.0881298102079
-28.3253055691625,-390.9200649515581,150.39396010379554
-28.412246077572178,-390.87066374552734,150.39396010379554
-28.499186585981857,-390.82126253949656,151.50743343674222
-28.587065524909175,-390.77356293001475,151.85256767916061
-28.67523535803685,-390.72639078054004,150.9999036004191
-28.762683568363283,-390.67791725368465,150.13008646156146
-28.84939564009251,-390.62811617160554,150.41824369550721
-28.93635234442833,-390.578754505129,151.65856148199057
-29.02436194530335,-390.53128407945525,151.6585614819619
-29.112371546178373,-390.48381365378145,150.15516903940502
-29.199102675398983,-390.4340521063756,150.01742282132798
-29.2857166531227,-390.38408061427555,150.99004251759928
-29.373158238947994,-390.3355910840484,151.61984495280367
-29.461135742498435,-390.28806119840937,151.56826762546967
-29.549070353126567,-390.2404521737266,151.46526135279905
-29.636919301342648,-390.19268509869414,151.459216625396
-29.72476320153953,-390.144908760226,151.35924743760958
-29.8125236163964,-390.0969792208585,151.35924743760958
-29.90028403125327,-390.049049681491,151.31432410693176
-29.988006831812303,-390.00105135163705,151.30151178584887
-30.075718904615865,-389.9530334024479,150.40668827979025
-30.16265969182621,-389.90365758442704,149.50431107889935
-30.248822683135728,-389.8529124360045,149.75416106550676
-30.335202312467135,-389.8025457315223,150.9182340629283
-30.42259121110178,-389.75394211483325,150.9182340629293
-30.509980109736425,-389.7053384981442,150.97762045541504
-30.597419332571896,-389.65682548838186,150.98510338098657
-30.684864896461278,-389.6083238954606,151.0541143907924
-30.772368773441045,-389.55992768650657,151.09993816391406
-30.85991137070898,-389.5116014532226,150.58636218743368
